log,player1,player2,service,game1,game2,score,odds1,odds2
2019-09-05 21:00:41,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,0,0,"[0, 0][-, -][-, -]",0.47,0.58
2019-09-05 21:00:52,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,15,0,"[0, 0][-, -][-, -]",0.47,0.58
2019-09-05 21:00:57,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,15,0,"[0, 0][-, -][-, -]",0.5,0.55
2019-09-05 21:01:12,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,30,0,"[0, 0][-, -][-, -]",0.5,0.55
2019-09-05 21:01:18,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,30,0,"[0, 0][-, -][-, -]",0.53,0.52
2019-09-05 21:01:44,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,40,0,"[0, 0][-, -][-, -]",0.55,0.5
2019-09-05 21:02:05,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,40,0,"[0, 0][-, -][-, -]",0.53,0.52
2019-09-05 21:02:10,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,40,0,"[0, 0][-, -][-, -]",0.52,0.53
2019-09-05 21:02:15,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,40,0,"[0, 0][-, -][-, -]",0.51,0.53
2019-09-05 21:02:21,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,0,0,"[1, 0][-, -][-, -]",0.51,0.53
2019-09-05 21:02:26,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,0,0,"[1, 0][-, -][-, -]",0.53,0.51
2019-09-05 21:02:36,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,0,0,"[1, 0][-, -][-, -]",0.52,0.53
2019-09-05 21:02:47,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,0,0,"[1, 0][-, -][-, -]",0.5,0.55
2019-09-05 21:03:02,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,0,15,"[1, 0][-, -][-, -]",0.54,0.51
2019-09-05 21:03:08,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,0,15,"[1, 0][-, -][-, -]",0.51,0.54
2019-09-05 21:03:13,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,0,15,"[1, 0][-, -][-, -]",0.5,0.55
2019-09-05 21:03:23,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,0,30,"[1, 0][-, -][-, -]",0.5,0.55
2019-09-05 21:03:29,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,0,30,"[1, 0][-, -][-, -]",0.49,0.56
2019-09-05 21:03:49,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,0,40,"[1, 0][-, -][-, -]",0.47,0.58
2019-09-05 21:04:05,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,0,40,"[1, 0][-, -][-, -]",0.48,0.57
2019-09-05 21:04:10,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,0,40,"[1, 0][-, -][-, -]",0.49,0.56
2019-09-05 21:04:21,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,15,40,"[1, 0][-, -][-, -]",0.51,0.53
2019-09-05 21:04:26,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,15,40,"[1, 0][-, -][-, -]",0.48,0.57
2019-09-05 21:04:47,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,0,0,"[1, 1][-, -][-, -]",0.45,0.6
2019-09-05 21:05:08,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,0,0,"[1, 1][-, -][-, -]",0.49,0.56
2019-09-05 21:05:13,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,0,0,"[1, 1][-, -][-, -]",0.5,0.55
2019-09-05 21:05:18,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,0,0,"[1, 1][-, -][-, -]",0.48,0.57
2019-09-05 21:05:29,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,0,15,"[1, 1][-, -][-, -]",0.48,0.57
2019-09-05 21:05:34,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,0,15,"[1, 1][-, -][-, -]",0.44,0.61
2019-09-05 21:05:55,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,0,15,"[1, 1][-, -][-, -]",0.43,0.62
2019-09-05 21:06:11,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,15,15,"[1, 1][-, -][-, -]",0.47,0.58
2019-09-05 21:06:37,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,30,15,"[1, 1][-, -][-, -]",0.5,0.55
2019-09-05 21:07:03,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,30,30,"[1, 1][-, -][-, -]",0.47,0.58
2019-09-05 21:07:29,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,30,30,"[1, 1][-, -][-, -]",0.45,0.6
2019-09-05 21:07:40,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,40,30,"[1, 1][-, -][-, -]",0.5,0.55
2019-09-05 21:08:06,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,0,0,"[2, 1][-, -][-, -]",0.53,0.51
2019-09-05 21:10:12,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,0,0,"[2, 1][-, -][-, -]",0.54,0.51
2019-09-05 21:10:22,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,15,0,"[2, 1][-, -][-, -]",0.57,0.48
2019-09-05 21:10:38,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,15,0,"[2, 1][-, -][-, -]",0.58,0.47
2019-09-05 21:10:59,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,30,0,"[2, 1][-, -][-, -]",0.62,0.43
2019-09-05 21:11:14,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,30,0,"[2, 1][-, -][-, -]",0.6,0.45
2019-09-05 21:11:30,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,30,15,"[2, 1][-, -][-, -]",0.56,0.49
2019-09-05 21:11:56,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,30,30,"[2, 1][-, -][-, -]",0.53,0.52
2019-09-05 21:12:22,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,30,40,"[2, 1][-, -][-, -]",0.49,0.56
2019-09-05 21:12:48,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,40,40,"[2, 1][-, -][-, -]",0.53,0.51
2019-09-05 21:13:14,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,40,40,"[2, 1][-, -][-, -]",0.55,0.5
2019-09-05 21:13:30,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,ADV,40,"[2, 1][-, -][-, -]",0.59,0.47
2019-09-05 21:14:07,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,40,40,"[2, 1][-, -][-, -]",0.54,0.51
2019-09-05 21:14:33,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,40,ADV,"[2, 1][-, -][-, -]",0.54,0.51
2019-09-05 21:14:38,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,40,ADV,"[2, 1][-, -][-, -]",0.5,0.55
2019-09-05 21:16:07,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,ADV,40,"[2, 1][-, -][-, -]",0.6,0.45
2019-09-05 21:16:48,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,40,40,"[2, 1][-, -][-, -]",0.6,0.45
2019-09-05 21:17:25,Belinda Bencic (SUI),Bianca Andreescu (CAN),player2,40,ADV,"[2, 1][-, -][-, -]",0.55,0.5
2019-09-05 21:17:56,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,0,0,"[2, 2][-, -][-, -]",0.47,0.58
2019-09-05 21:18:17,Belinda Bencic (SUI),Bianca Andreescu (CAN),player1,0,0,"[2, 2][-, -][-, -]",0.49,0.56
