log,player1,player2,service,game1,game2,score,odds1,odds2
2019-09-05 15:37:15,Bradley Klahn (USA),Christopher Eubanks (USA),player1,0,0,"[3, 6][6, 3][0, 1]",0.61,0.47
2019-09-05 15:37:20,Bradley Klahn (USA),Christopher Eubanks (USA),player1,0,0,"[3, 6][6, 3][0, 1]",0.58,0.49
2019-09-05 15:38:18,Bradley Klahn (USA),Christopher Eubanks (USA),player1,15,0,"[3, 6][6, 3][0, 1]",0.61,0.47
2019-09-05 15:38:40,Bradley Klahn (USA),Christopher Eubanks (USA),player1,30,0,"[3, 6][6, 3][0, 1]",0.63,0.44
2019-09-05 15:38:56,Bradley Klahn (USA),Christopher Eubanks (USA),player1,40,0,"[3, 6][6, 3][0, 1]",0.64,0.43
2019-09-05 15:39:11,Bradley Klahn (USA),Christopher Eubanks (USA),player2,0,0,"[3, 6][6, 3][1, 1]",0.65,0.43
2019-09-05 15:39:48,Bradley Klahn (USA),Christopher Eubanks (USA),player2,0,15,"[3, 6][6, 3][1, 1]",0.62,0.45
2019-09-05 15:40:10,Bradley Klahn (USA),Christopher Eubanks (USA),player2,0,30,"[3, 6][6, 3][1, 1]",0.6,0.48
2019-09-05 15:40:20,Bradley Klahn (USA),Christopher Eubanks (USA),player2,0,40,"[3, 6][6, 3][1, 1]",0.58,0.49
2019-09-05 15:40:31,Bradley Klahn (USA),Christopher Eubanks (USA),player1,0,0,"[3, 6][6, 3][1, 2]",0.57,0.5
2019-09-05 15:42:11,Bradley Klahn (USA),Christopher Eubanks (USA),player1,15,0,"[3, 6][6, 3][1, 2]",0.6,0.48
2019-09-05 15:42:32,Bradley Klahn (USA),Christopher Eubanks (USA),player1,30,0,"[3, 6][6, 3][1, 2]",0.62,0.45
2019-09-05 15:42:48,Bradley Klahn (USA),Christopher Eubanks (USA),player1,40,0,"[3, 6][6, 3][1, 2]",0.63,0.44
2019-09-05 15:43:15,Bradley Klahn (USA),Christopher Eubanks (USA),player2,0,0,"[3, 6][6, 3][2, 2]",0.64,0.43
2019-09-05 15:43:46,Bradley Klahn (USA),Christopher Eubanks (USA),player2,0,0,"[3, 6][6, 3][2, 2]",0.65,0.43
2019-09-05 15:44:02,Bradley Klahn (USA),Christopher Eubanks (USA),player2,15,0,"[3, 6][6, 3][2, 2]",0.69,0.38
2019-09-05 15:44:28,Bradley Klahn (USA),Christopher Eubanks (USA),player2,15,15,"[3, 6][6, 3][2, 2]",0.69,0.38
2019-09-05 15:44:34,Bradley Klahn (USA),Christopher Eubanks (USA),player2,15,15,"[3, 6][6, 3][2, 2]",0.65,0.43
2019-09-05 15:44:50,Bradley Klahn (USA),Christopher Eubanks (USA),player2,15,30,"[3, 6][6, 3][2, 2]",0.61,0.47
2019-09-05 15:45:05,Bradley Klahn (USA),Christopher Eubanks (USA),player2,15,40,"[3, 6][6, 3][2, 2]",0.61,0.47
2019-09-05 15:45:11,Bradley Klahn (USA),Christopher Eubanks (USA),player2,15,40,"[3, 6][6, 3][2, 2]",0.58,0.49
2019-09-05 15:45:21,Bradley Klahn (USA),Christopher Eubanks (USA),player1,0,0,"[3, 6][6, 3][2, 3]",0.57,0.5
2019-09-05 15:46:56,Bradley Klahn (USA),Christopher Eubanks (USA),player1,0,0,"[3, 6][6, 3][2, 3]",0.56,0.51
2019-09-05 15:47:07,Bradley Klahn (USA),Christopher Eubanks (USA),player1,0,15,"[3, 6][6, 3][2, 3]",0.56,0.51
2019-09-05 15:47:12,Bradley Klahn (USA),Christopher Eubanks (USA),player1,0,15,"[3, 6][6, 3][2, 3]",0.51,0.56
2019-09-05 15:47:28,Bradley Klahn (USA),Christopher Eubanks (USA),player1,15,15,"[3, 6][6, 3][2, 3]",0.55,0.52
2019-09-05 15:47:49,Bradley Klahn (USA),Christopher Eubanks (USA),player1,15,30,"[3, 6][6, 3][2, 3]",0.48,0.6
2019-09-05 15:48:21,Bradley Klahn (USA),Christopher Eubanks (USA),player1,30,30,"[3, 6][6, 3][2, 3]",0.53,0.53
2019-09-05 15:48:52,Bradley Klahn (USA),Christopher Eubanks (USA),player1,40,30,"[3, 6][6, 3][2, 3]",0.58,0.49
2019-09-05 15:49:13,Bradley Klahn (USA),Christopher Eubanks (USA),player2,0,0,"[3, 6][6, 3][3, 3]",0.58,0.49
