log,player1,player2,service,game1,game2,score,odds1,odds2
2019-09-05 19:18:58,Elina Svitolina (UKR),Serena Williams (USA),player2,0,0,"[0, 0][-, -][-, -]",0.31,0.74
2019-09-05 19:19:03,Elina Svitolina (UKR),Serena Williams (USA),player2,0,0,"[0, 0][-, -][-, -]",0.33,0.71
2019-09-05 19:19:14,Elina Svitolina (UKR),Serena Williams (USA),player2,15,0,"[0, 0][-, -][-, -]",0.35,0.69
2019-09-05 19:19:29,Elina Svitolina (UKR),Serena Williams (USA),player2,15,0,"[0, 0][-, -][-, -]",0.34,0.7
2019-09-05 19:19:40,Elina Svitolina (UKR),Serena Williams (USA),player2,15,0,"[0, 0][-, -][-, -]",0.37,0.68
2019-09-05 19:19:45,Elina Svitolina (UKR),Serena Williams (USA),player2,15,0,"[0, 0][-, -][-, -]",0.36,0.69
2019-09-05 19:19:50,Elina Svitolina (UKR),Serena Williams (USA),player2,30,0,"[0, 0][-, -][-, -]",0.36,0.69
2019-09-05 19:19:56,Elina Svitolina (UKR),Serena Williams (USA),player2,30,0,"[0, 0][-, -][-, -]",0.38,0.67
2019-09-05 19:20:22,Elina Svitolina (UKR),Serena Williams (USA),player2,30,15,"[0, 0][-, -][-, -]",0.36,0.69
2019-09-05 19:20:43,Elina Svitolina (UKR),Serena Williams (USA),player2,30,15,"[0, 0][-, -][-, -]",0.37,0.68
2019-09-05 19:20:59,Elina Svitolina (UKR),Serena Williams (USA),player2,40,15,"[0, 0][-, -][-, -]",0.41,0.65
2019-09-05 19:21:19,Elina Svitolina (UKR),Serena Williams (USA),player2,40,30,"[0, 0][-, -][-, -]",0.41,0.65
2019-09-05 19:21:25,Elina Svitolina (UKR),Serena Williams (USA),player2,40,30,"[0, 0][-, -][-, -]",0.38,0.68
2019-09-05 19:21:46,Elina Svitolina (UKR),Serena Williams (USA),player2,40,30,"[0, 0][-, -][-, -]",0.39,0.65
2019-09-05 19:21:56,Elina Svitolina (UKR),Serena Williams (USA),player2,40,40,"[0, 0][-, -][-, -]",0.39,0.65
2019-09-05 19:22:01,Elina Svitolina (UKR),Serena Williams (USA),player2,40,40,"[0, 0][-, -][-, -]",0.34,0.71
2019-09-05 19:22:28,Elina Svitolina (UKR),Serena Williams (USA),player2,ADV,40,"[0, 0][-, -][-, -]",0.38,0.68
2019-09-05 19:22:54,Elina Svitolina (UKR),Serena Williams (USA),player2,ADV,40,"[0, 0][-, -][-, -]",0.38,0.67
2019-09-05 19:23:46,Elina Svitolina (UKR),Serena Williams (USA),player2,40,ADV,"[0, 0][-, -][-, -]",0.36,0.69
2019-09-05 19:23:52,Elina Svitolina (UKR),Serena Williams (USA),player2,40,ADV,"[0, 0][-, -][-, -]",0.33,0.71
2019-09-05 19:24:02,Elina Svitolina (UKR),Serena Williams (USA),player2,40,ADV,"[0, 0][-, -][-, -]",0.34,0.71
2019-09-05 19:24:12,Elina Svitolina (UKR),Serena Williams (USA),player2,40,ADV,"[0, 0][-, -][-, -]",0.31,0.71
2019-09-05 19:24:18,Elina Svitolina (UKR),Serena Williams (USA),player2,40,ADV,"[0, 0][-, -][-, -]",0.31,0.74
2019-09-05 19:24:23,Elina Svitolina (UKR),Serena Williams (USA),player2,40,40,"[0, 0][-, -][-, -]",0.31,0.74
2019-09-05 19:24:28,Elina Svitolina (UKR),Serena Williams (USA),player2,40,40,"[0, 0][-, -][-, -]",0.36,0.69
2019-09-05 19:25:26,Elina Svitolina (UKR),Serena Williams (USA),player1,0,0,"[0, 1][-, -][-, -]",0.31,0.74
2019-09-05 19:25:31,Elina Svitolina (UKR),Serena Williams (USA),player1,0,0,"[0, 1][-, -][-, -]",0.29,0.75
2019-09-05 19:26:13,Elina Svitolina (UKR),Serena Williams (USA),player1,15,0,"[0, 1][-, -][-, -]",0.31,0.74
2019-09-05 19:26:55,Elina Svitolina (UKR),Serena Williams (USA),player1,30,0,"[0, 1][-, -][-, -]",0.31,0.74
2019-09-05 19:27:00,Elina Svitolina (UKR),Serena Williams (USA),player1,30,0,"[0, 1][-, -][-, -]",0.34,0.71
2019-09-05 19:27:16,Elina Svitolina (UKR),Serena Williams (USA),player1,40,0,"[0, 1][-, -][-, -]",0.34,0.7
2019-09-05 19:27:21,Elina Svitolina (UKR),Serena Williams (USA),player1,40,0,"[0, 1][-, -][-, -]",0.36,0.69
2019-09-05 19:27:32,Elina Svitolina (UKR),Serena Williams (USA),player1,40,0,"[0, 1][-, -][-, -]",0.37,0.68
2019-09-05 19:27:42,Elina Svitolina (UKR),Serena Williams (USA),player1,40,15,"[0, 1][-, -][-, -]",0.37,0.68
2019-09-05 19:27:47,Elina Svitolina (UKR),Serena Williams (USA),player1,40,15,"[0, 1][-, -][-, -]",0.35,0.69
2019-09-05 19:28:08,Elina Svitolina (UKR),Serena Williams (USA),player1,40,15,"[0, 1][-, -][-, -]",0.34,0.7
2019-09-05 19:28:24,Elina Svitolina (UKR),Serena Williams (USA),player1,40,30,"[0, 1][-, -][-, -]",0.33,0.71
2019-09-05 19:28:50,Elina Svitolina (UKR),Serena Williams (USA),player1,40,40,"[0, 1][-, -][-, -]",0.29,0.77
2019-09-05 19:29:16,Elina Svitolina (UKR),Serena Williams (USA),player1,40,ADV,"[0, 1][-, -][-, -]",0.25,0.8
2019-09-05 19:29:43,Elina Svitolina (UKR),Serena Williams (USA),player1,40,40,"[0, 1][-, -][-, -]",0.25,0.8
2019-09-05 19:30:14,Elina Svitolina (UKR),Serena Williams (USA),player1,40,40,"[0, 1][-, -][-, -]",0.28,0.77
2019-09-05 19:30:35,Elina Svitolina (UKR),Serena Williams (USA),player1,40,ADV,"[0, 1][-, -][-, -]",0.28,0.77
2019-09-05 19:31:28,Elina Svitolina (UKR),Serena Williams (USA),player1,40,40,"[0, 1][-, -][-, -]",0.27,0.78
2019-09-05 19:31:43,Elina Svitolina (UKR),Serena Williams (USA),player1,ADV,40,"[0, 1][-, -][-, -]",0.27,0.78
2019-09-05 19:31:48,Elina Svitolina (UKR),Serena Williams (USA),player1,ADV,40,"[0, 1][-, -][-, -]",0.31,0.74
2019-09-05 19:33:02,Elina Svitolina (UKR),Serena Williams (USA),player1,ADV,40,"[0, 1][-, -][-, -]",0.28,0.77
2019-09-05 19:33:28,Elina Svitolina (UKR),Serena Williams (USA),player1,ADV,40,"[0, 1][-, -][-, -]",0.3,0.75
2019-09-05 19:33:33,Elina Svitolina (UKR),Serena Williams (USA),player1,40,40,"[0, 1][-, -][-, -]",0.3,0.75
2019-09-05 19:34:57,Elina Svitolina (UKR),Serena Williams (USA),player1,40,ADV,"[0, 1][-, -][-, -]",0.24,0.82
2019-09-05 19:35:19,Elina Svitolina (UKR),Serena Williams (USA),player1,40,ADV,"[0, 1][-, -][-, -]",0.23,0.82
2019-09-05 19:35:29,Elina Svitolina (UKR),Serena Williams (USA),player2,0,0,"[0, 2][-, -][-, -]",0.23,0.82
2019-09-05 19:35:34,Elina Svitolina (UKR),Serena Williams (USA),player2,0,0,"[0, 2][-, -][-, -]",0.19,0.86
2019-09-05 19:36:06,Elina Svitolina (UKR),Serena Williams (USA),player2,0,15,"[0, 2][-, -][-, -]",0.17,0.88
2019-09-05 19:36:22,Elina Svitolina (UKR),Serena Williams (USA),player2,0,30,"[0, 2][-, -][-, -]",0.16,0.89
2019-09-05 19:36:43,Elina Svitolina (UKR),Serena Williams (USA),player2,0,40,"[0, 2][-, -][-, -]",0.17,0.88
2019-09-05 19:36:49,Elina Svitolina (UKR),Serena Williams (USA),player2,0,40,"[0, 2][-, -][-, -]",0.16,0.89
2019-09-05 19:37:31,Elina Svitolina (UKR),Serena Williams (USA),player1,0,0,"[0, 3][-, -][-, -]",0.17,0.88
2019-09-05 19:37:36,Elina Svitolina (UKR),Serena Williams (USA),player1,0,0,"[0, 3][-, -][-, -]",0.15,0.89
2019-09-05 19:39:43,Elina Svitolina (UKR),Serena Williams (USA),player1,15,0,"[0, 3][-, -][-, -]",0.17,0.88
2019-09-05 19:39:59,Elina Svitolina (UKR),Serena Williams (USA),player1,15,0,"[0, 3][-, -][-, -]",0.16,0.89
2019-09-05 19:40:31,Elina Svitolina (UKR),Serena Williams (USA),player1,30,0,"[0, 3][-, -][-, -]",0.16,0.89
2019-09-05 19:40:36,Elina Svitolina (UKR),Serena Williams (USA),player1,30,0,"[0, 3][-, -][-, -]",0.18,0.87
2019-09-05 19:40:52,Elina Svitolina (UKR),Serena Williams (USA),player1,40,0,"[0, 3][-, -][-, -]",0.19,0.86
2019-09-05 19:40:58,Elina Svitolina (UKR),Serena Williams (USA),player1,40,0,"[0, 3][-, -][-, -]",0.17,0.88
2019-09-05 19:41:19,Elina Svitolina (UKR),Serena Williams (USA),player1,40,15,"[0, 3][-, -][-, -]",0.2,0.85
2019-09-05 19:41:24,Elina Svitolina (UKR),Serena Williams (USA),player1,40,15,"[0, 3][-, -][-, -]",0.19,0.86
2019-09-05 19:42:01,Elina Svitolina (UKR),Serena Williams (USA),player2,0,0,"[1, 3][-, -][-, -]",0.2,0.85
2019-09-05 19:42:38,Elina Svitolina (UKR),Serena Williams (USA),player2,15,0,"[1, 3][-, -][-, -]",0.2,0.85
2019-09-05 19:42:43,Elina Svitolina (UKR),Serena Williams (USA),player2,15,0,"[1, 3][-, -][-, -]",0.23,0.82
2019-09-05 19:43:20,Elina Svitolina (UKR),Serena Williams (USA),player2,30,0,"[1, 3][-, -][-, -]",0.25,0.8
2019-09-05 19:43:26,Elina Svitolina (UKR),Serena Williams (USA),player2,30,0,"[1, 3][-, -][-, -]",0.23,0.82
2019-09-05 19:43:57,Elina Svitolina (UKR),Serena Williams (USA),player2,40,0,"[1, 3][-, -][-, -]",0.25,0.8
2019-09-05 19:44:13,Elina Svitolina (UKR),Serena Williams (USA),player2,40,0,"[1, 3][-, -][-, -]",0.26,0.79
2019-09-05 19:44:18,Elina Svitolina (UKR),Serena Williams (USA),player2,40,15,"[1, 3][-, -][-, -]",0.24,0.8
2019-09-05 19:44:24,Elina Svitolina (UKR),Serena Williams (USA),player2,40,15,"[1, 3][-, -][-, -]",0.24,0.82
2019-09-05 19:44:40,Elina Svitolina (UKR),Serena Williams (USA),player2,40,30,"[1, 3][-, -][-, -]",0.24,0.82
2019-09-05 19:44:50,Elina Svitolina (UKR),Serena Williams (USA),player2,40,30,"[1, 3][-, -][-, -]",0.25,0.8
2019-09-05 19:45:01,Elina Svitolina (UKR),Serena Williams (USA),player2,40,30,"[1, 3][-, -][-, -]",0.27,0.78
2019-09-05 19:45:11,Elina Svitolina (UKR),Serena Williams (USA),player2,40,40,"[1, 3][-, -][-, -]",0.25,0.8
2019-09-05 19:45:17,Elina Svitolina (UKR),Serena Williams (USA),player2,40,40,"[1, 3][-, -][-, -]",0.23,0.82
2019-09-05 19:45:38,Elina Svitolina (UKR),Serena Williams (USA),player2,40,40,"[1, 3][-, -][-, -]",0.2,0.85
2019-09-05 19:45:54,Elina Svitolina (UKR),Serena Williams (USA),player2,40,ADV,"[1, 3][-, -][-, -]",0.2,0.85
2019-09-05 19:45:59,Elina Svitolina (UKR),Serena Williams (USA),player2,40,ADV,"[1, 3][-, -][-, -]",0.17,0.88
2019-09-05 19:46:20,Elina Svitolina (UKR),Serena Williams (USA),player2,40,ADV,"[1, 3][-, -][-, -]",0.21,0.84
2019-09-05 19:46:46,Elina Svitolina (UKR),Serena Williams (USA),player1,0,0,"[1, 4][-, -][-, -]",0.18,0.87
2019-09-05 19:47:53,Elina Svitolina (UKR),Serena Williams (USA),player1,0,0,"[1, 4][-, -][-, -]",0.17,0.88
2019-09-05 19:48:56,Elina Svitolina (UKR),Serena Williams (USA),player1,15,0,"[1, 4][-, -][-, -]",0.17,0.88
2019-09-05 19:49:12,Elina Svitolina (UKR),Serena Williams (USA),player1,30,0,"[1, 4][-, -][-, -]",0.17,0.88
2019-09-05 19:49:32,Elina Svitolina (UKR),Serena Williams (USA),player1,30,0,"[1, 4][-, -][-, -]",0.18,0.87
2019-09-05 19:50:09,Elina Svitolina (UKR),Serena Williams (USA),player1,40,0,"[1, 4][-, -][-, -]",0.19,0.86
2019-09-05 19:50:24,Elina Svitolina (UKR),Serena Williams (USA),player1,40,15,"[1, 4][-, -][-, -]",0.19,0.86
2019-09-05 19:50:29,Elina Svitolina (UKR),Serena Williams (USA),player1,40,15,"[1, 4][-, -][-, -]",0.18,0.87
2019-09-05 19:50:50,Elina Svitolina (UKR),Serena Williams (USA),player2,0,0,"[2, 4][-, -][-, -]",0.18,0.87
2019-09-05 19:50:56,Elina Svitolina (UKR),Serena Williams (USA),player2,0,0,"[2, 4][-, -][-, -]",0.19,0.86
2019-09-05 19:51:27,Elina Svitolina (UKR),Serena Williams (USA),player2,0,0,"[2, 4][-, -][-, -]",0.2,0.85
2019-09-05 19:51:53,Elina Svitolina (UKR),Serena Williams (USA),player2,0,15,"[2, 4][-, -][-, -]",0.19,0.86
2019-09-05 19:52:03,Elina Svitolina (UKR),Serena Williams (USA),player2,0,15,"[2, 4][-, -][-, -]",0.2,0.85
2019-09-05 19:52:14,Elina Svitolina (UKR),Serena Williams (USA),player2,0,30,"[2, 4][-, -][-, -]",0.17,0.88
2019-09-05 19:52:34,Elina Svitolina (UKR),Serena Williams (USA),player2,0,40,"[2, 4][-, -][-, -]",0.17,0.88
2019-09-05 19:52:55,Elina Svitolina (UKR),Serena Williams (USA),player1,0,0,"[2, 5][-, -][-, -]",0.15,0.89
2019-09-05 19:54:03,Elina Svitolina (UKR),Serena Williams (USA),player1,0,0,"[2, 5][-, -][-, -]",0.16,0.89
2019-09-05 19:54:45,Elina Svitolina (UKR),Serena Williams (USA),player1,0,15,"[2, 5][-, -][-, -]",0.16,0.89
2019-09-05 19:54:50,Elina Svitolina (UKR),Serena Williams (USA),player1,0,15,"[2, 5][-, -][-, -]",0.15,0.9
2019-09-05 19:55:06,Elina Svitolina (UKR),Serena Williams (USA),player1,15,15,"[2, 5][-, -][-, -]",0.16,0.89
2019-09-05 19:55:26,Elina Svitolina (UKR),Serena Williams (USA),player1,30,15,"[2, 5][-, -][-, -]",0.17,0.88
