log,player1,player2,service,game1,game2,score,odds1,odds2
2019-09-05 15:44:32,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,0,0,"[0, 0][-, -][-, -]",0.63,0.44
2019-09-05 15:44:37,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,0,15,"[0, 0][-, -][-, -]",0.61,0.47
2019-09-05 15:44:58,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,0,30,"[0, 0][-, -][-, -]",0.58,0.49
2019-09-05 15:45:19,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,0,30,"[0, 0][-, -][-, -]",0.6,0.48
2019-09-05 15:45:35,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,15,30,"[0, 0][-, -][-, -]",0.62,0.45
2019-09-05 15:46:07,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,15,40,"[0, 0][-, -][-, -]",0.6,0.48
2019-09-05 15:46:34,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,0,0,"[0, 1][-, -][-, -]",0.58,0.49
2019-09-05 15:46:45,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,0,0,"[0, 1][-, -][-, -]",0.56,0.51
2019-09-05 15:47:32,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,15,0,"[0, 1][-, -][-, -]",0.58,0.49
2019-09-05 15:47:38,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,15,0,"[0, 1][-, -][-, -]",0.6,0.48
2019-09-05 15:47:54,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,30,0,"[0, 1][-, -][-, -]",0.6,0.48
2019-09-05 15:47:59,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,30,0,"[0, 1][-, -][-, -]",0.62,0.45
2019-09-05 15:48:10,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,30,0,"[0, 1][-, -][-, -]",0.61,0.47
2019-09-05 15:48:21,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,30,15,"[0, 1][-, -][-, -]",0.58,0.49
2019-09-05 15:48:47,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,30,30,"[0, 1][-, -][-, -]",0.53,0.53
2019-09-05 15:49:08,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,40,30,"[0, 1][-, -][-, -]",0.53,0.53
2019-09-05 15:49:14,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,40,30,"[0, 1][-, -][-, -]",0.57,0.5
2019-09-05 15:49:19,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,40,30,"[0, 1][-, -][-, -]",0.58,0.49
2019-09-05 15:49:40,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,0,0,"[1, 1][-, -][-, -]",0.58,0.49
2019-09-05 15:49:46,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,0,0,"[1, 1][-, -][-, -]",0.61,0.47
2019-09-05 15:50:18,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,0,0,"[1, 1][-, -][-, -]",0.62,0.45
2019-09-05 15:50:34,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,0,15,"[1, 1][-, -][-, -]",0.62,0.45
2019-09-05 15:50:39,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,0,15,"[1, 1][-, -][-, -]",0.58,0.49
2019-09-05 15:51:00,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,0,15,"[1, 1][-, -][-, -]",0.6,0.48
2019-09-05 15:51:11,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,0,30,"[1, 1][-, -][-, -]",0.57,0.5
2019-09-05 15:51:43,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,15,30,"[1, 1][-, -][-, -]",0.6,0.48
2019-09-05 15:52:09,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,15,40,"[1, 1][-, -][-, -]",0.57,0.5
2019-09-05 15:52:31,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,0,0,"[1, 2][-, -][-, -]",0.56,0.51
2019-09-05 15:54:12,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,15,0,"[1, 2][-, -][-, -]",0.58,0.49
2019-09-05 15:54:33,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,15,15,"[1, 2][-, -][-, -]",0.58,0.49
2019-09-05 15:54:38,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,15,15,"[1, 2][-, -][-, -]",0.54,0.53
2019-09-05 15:54:59,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,30,15,"[1, 2][-, -][-, -]",0.57,0.5
2019-09-05 15:55:10,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,30,15,"[1, 2][-, -][-, -]",0.58,0.49
2019-09-05 15:55:31,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,40,15,"[1, 2][-, -][-, -]",0.61,0.47
2019-09-05 15:56:19,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,40,30,"[1, 2][-, -][-, -]",0.58,0.49
2019-09-05 15:56:46,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,0,0,"[2, 2][-, -][-, -]",0.58,0.49
2019-09-05 15:56:51,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,0,0,"[2, 2][-, -][-, -]",0.61,0.47
2019-09-05 15:58:00,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,15,0,"[2, 2][-, -][-, -]",0.65,0.43
2019-09-05 15:58:26,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,15,15,"[2, 2][-, -][-, -]",0.65,0.43
2019-09-05 15:58:32,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,15,15,"[2, 2][-, -][-, -]",0.62,0.45
2019-09-05 15:58:53,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,15,30,"[2, 2][-, -][-, -]",0.62,0.45
2019-09-05 15:58:58,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,15,30,"[2, 2][-, -][-, -]",0.6,0.48
2019-09-05 15:59:25,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,15,40,"[2, 2][-, -][-, -]",0.6,0.48
2019-09-05 15:59:30,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,15,40,"[2, 2][-, -][-, -]",0.57,0.5
2019-09-05 15:59:57,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,0,0,"[2, 3][-, -][-, -]",0.55,0.52
2019-09-05 16:01:53,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,0,15,"[2, 3][-, -][-, -]",0.55,0.52
2019-09-05 16:01:58,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,0,15,"[2, 3][-, -][-, -]",0.51,0.56
2019-09-05 16:02:30,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,0,15,"[2, 3][-, -][-, -]",0.5,0.57
2019-09-05 16:02:46,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,15,15,"[2, 3][-, -][-, -]",0.53,0.53
2019-09-05 16:03:12,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,30,15,"[2, 3][-, -][-, -]",0.57,0.5
2019-09-05 16:03:39,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,40,15,"[2, 3][-, -][-, -]",0.6,0.48
2019-09-05 16:04:00,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,40,30,"[2, 3][-, -][-, -]",0.6,0.48
2019-09-05 16:04:05,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player1,40,30,"[2, 3][-, -][-, -]",0.56,0.51
2019-09-05 16:04:32,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,0,0,"[3, 3][-, -][-, -]",0.58,0.49
2019-09-05 16:05:09,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,0,15,"[3, 3][-, -][-, -]",0.56,0.51
2019-09-05 16:05:35,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,15,15,"[3, 3][-, -][-, -]",0.6,0.48
2019-09-05 16:06:01,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,15,15,"[3, 3][-, -][-, -]",0.61,0.47
2019-09-05 16:06:12,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,30,15,"[3, 3][-, -][-, -]",0.61,0.47
2019-09-05 16:06:17,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,30,15,"[3, 3][-, -][-, -]",0.65,0.42
2019-09-05 16:06:59,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,30,30,"[3, 3][-, -][-, -]",0.62,0.45
2019-09-05 16:07:26,J. S. Cabal/R. Farah,J. Murray/N. Skupski,player2,30,40,"[3, 3][-, -][-, -]",0.57,0.5
