log,player1,player2,service,game1,game2,score,odds1,odds2
2019-09-05 18:11:23,Michael Mmoh (USA),Emilio Gomez (ECU),player2,0,0,"[6, 3][0, 6][2, 0]",0.8,0.27
2019-09-05 18:11:28,Michael Mmoh (USA),Emilio Gomez (ECU),player2,0,15,"[6, 3][0, 6][2, 0]",0.77,0.3
2019-09-05 18:11:59,Michael Mmoh (USA),Emilio Gomez (ECU),player2,0,30,"[6, 3][0, 6][2, 0]",0.75,0.32
2019-09-05 18:12:25,Michael Mmoh (USA),Emilio Gomez (ECU),player2,0,40,"[6, 3][0, 6][2, 0]",0.74,0.34
2019-09-05 18:12:46,Michael Mmoh (USA),Emilio Gomez (ECU),player1,0,0,"[6, 3][0, 6][2, 1]",0.71,0.35
2019-09-05 18:14:25,Michael Mmoh (USA),Emilio Gomez (ECU),player1,0,0,"[6, 3][0, 6][2, 1]",0.7,0.36
2019-09-05 18:14:36,Michael Mmoh (USA),Emilio Gomez (ECU),player1,15,0,"[6, 3][0, 6][2, 1]",0.75,0.32
2019-09-05 18:15:49,Michael Mmoh (USA),Emilio Gomez (ECU),player1,30,0,"[6, 3][0, 6][2, 1]",0.79,0.28
2019-09-05 18:16:20,Michael Mmoh (USA),Emilio Gomez (ECU),player1,30,0,"[6, 3][0, 6][2, 1]",0.78,0.29
2019-09-05 18:16:41,Michael Mmoh (USA),Emilio Gomez (ECU),player1,30,15,"[6, 3][0, 6][2, 1]",0.75,0.32
2019-09-05 18:17:12,Michael Mmoh (USA),Emilio Gomez (ECU),player1,40,15,"[6, 3][0, 6][2, 1]",0.79,0.28
2019-09-05 18:17:43,Michael Mmoh (USA),Emilio Gomez (ECU),player2,0,0,"[6, 3][0, 6][3, 1]",0.82,0.25
2019-09-05 18:18:25,Michael Mmoh (USA),Emilio Gomez (ECU),player2,15,0,"[6, 3][0, 6][3, 1]",0.85,0.22
2019-09-05 18:19:06,Michael Mmoh (USA),Emilio Gomez (ECU),player2,30,0,"[6, 3][0, 6][3, 1]",0.89,0.17
2019-09-05 18:19:43,Michael Mmoh (USA),Emilio Gomez (ECU),player2,30,15,"[6, 3][0, 6][3, 1]",0.87,0.2
2019-09-05 18:20:19,Michael Mmoh (USA),Emilio Gomez (ECU),player2,30,30,"[6, 3][0, 6][3, 1]",0.83,0.24
2019-09-05 18:20:45,Michael Mmoh (USA),Emilio Gomez (ECU),player2,30,30,"[6, 3][0, 6][3, 1]",0.84,0.23
2019-09-05 18:20:56,Michael Mmoh (USA),Emilio Gomez (ECU),player2,40,30,"[6, 3][0, 6][3, 1]",0.88,0.18
