log,player1,player2,service,game1,game2,score,odds1,odds2
2019-09-06 16:38:43,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,0,0,"[2, 3][-, -][-, -][-, -][-, -]",0.6,0.48
2019-09-06 16:39:36,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,15,0,"[2, 3][-, -][-, -][-, -][-, -]",0.62,0.45
2019-09-06 16:39:52,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,30,0,"[2, 3][-, -][-, -][-, -][-, -]",0.62,0.45
2019-09-06 16:39:57,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,30,0,"[2, 3][-, -][-, -][-, -][-, -]",0.64,0.43
2019-09-06 16:40:24,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,40,0,"[2, 3][-, -][-, -][-, -][-, -]",0.65,0.42
2019-09-06 16:40:51,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,40,15,"[2, 3][-, -][-, -][-, -][-, -]",0.64,0.43
2019-09-06 16:41:07,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,0,0,"[3, 3][-, -][-, -][-, -][-, -]",0.64,0.43
2019-09-06 16:41:12,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,0,0,"[3, 3][-, -][-, -][-, -][-, -]",0.65,0.42
2019-09-06 16:41:55,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,15,0,"[3, 3][-, -][-, -][-, -][-, -]",0.69,0.38
2019-09-06 16:42:11,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,15,0,"[3, 3][-, -][-, -][-, -][-, -]",0.68,0.39
2019-09-06 16:42:43,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,15,15,"[3, 3][-, -][-, -][-, -][-, -]",0.65,0.42
2019-09-06 16:43:46,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,30,15,"[3, 3][-, -][-, -][-, -][-, -]",0.65,0.42
2019-09-06 16:43:52,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,30,15,"[3, 3][-, -][-, -][-, -][-, -]",0.69,0.38
2019-09-06 16:44:34,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,30,30,"[3, 3][-, -][-, -][-, -][-, -]",0.67,0.41
2019-09-06 16:46:04,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,40,30,"[3, 3][-, -][-, -][-, -][-, -]",0.7,0.36
2019-09-06 16:46:09,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,40,30,"[3, 3][-, -][-, -][-, -][-, -]",0.71,0.35
2019-09-06 16:46:20,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,40,40,"[3, 3][-, -][-, -][-, -][-, -]",0.71,0.35
2019-09-06 16:46:25,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,40,40,"[3, 3][-, -][-, -][-, -][-, -]",0.67,0.4
2019-09-06 16:46:52,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,40,40,"[3, 3][-, -][-, -][-, -][-, -]",0.68,0.39
2019-09-06 16:47:18,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,40,ADV,"[3, 3][-, -][-, -][-, -][-, -]",0.68,0.39
2019-09-06 16:47:23,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,40,ADV,"[3, 3][-, -][-, -][-, -][-, -]",0.64,0.43
2019-09-06 16:47:55,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,0,0,"[3, 4][-, -][-, -][-, -][-, -]",0.61,0.47
2019-09-06 16:48:11,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,0,0,"[3, 4][-, -][-, -][-, -][-, -]",0.63,0.44
2019-09-06 16:49:52,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,0,15,"[3, 4][-, -][-, -][-, -][-, -]",0.63,0.44
2019-09-06 16:49:57,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,0,15,"[3, 4][-, -][-, -][-, -][-, -]",0.58,0.49
2019-09-06 16:50:13,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,0,15,"[3, 4][-, -][-, -][-, -][-, -]",0.57,0.5
2019-09-06 16:50:29,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,15,15,"[3, 4][-, -][-, -][-, -][-, -]",0.61,0.47
2019-09-06 16:51:22,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,30,15,"[3, 4][-, -][-, -][-, -][-, -]",0.61,0.47
2019-09-06 16:51:28,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,30,15,"[3, 4][-, -][-, -][-, -][-, -]",0.64,0.43
2019-09-06 16:51:49,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,30,15,"[3, 4][-, -][-, -][-, -][-, -]",0.63,0.44
2019-09-06 16:52:05,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,30,30,"[3, 4][-, -][-, -][-, -][-, -]",0.63,0.44
2019-09-06 16:52:10,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,30,30,"[3, 4][-, -][-, -][-, -][-, -]",0.6,0.48
2019-09-06 16:52:31,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,30,30,"[3, 4][-, -][-, -][-, -][-, -]",0.58,0.49
2019-09-06 16:52:36,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,40,30,"[3, 4][-, -][-, -][-, -][-, -]",0.58,0.49
2019-09-06 16:52:42,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,40,30,"[3, 4][-, -][-, -][-, -][-, -]",0.63,0.44
2019-09-06 16:53:08,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,0,0,"[4, 4][-, -][-, -][-, -][-, -]",0.65,0.42
2019-09-06 16:53:45,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,0,15,"[4, 4][-, -][-, -][-, -][-, -]",0.65,0.42
2019-09-06 16:53:51,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,0,15,"[4, 4][-, -][-, -][-, -][-, -]",0.63,0.44
2019-09-06 16:54:06,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,0,30,"[4, 4][-, -][-, -][-, -][-, -]",0.63,0.44
2019-09-06 16:54:12,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,0,30,"[4, 4][-, -][-, -][-, -][-, -]",0.61,0.47
2019-09-06 16:54:33,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,0,40,"[4, 4][-, -][-, -][-, -][-, -]",0.61,0.47
2019-09-06 16:54:38,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,0,40,"[4, 4][-, -][-, -][-, -][-, -]",0.6,0.48
2019-09-06 16:54:54,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player2,0,40,"[4, 4][-, -][-, -][-, -][-, -]",0.62,0.45
2019-09-06 16:54:59,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,0,0,"[4, 5][-, -][-, -][-, -][-, -]",0.62,0.45
2019-09-06 16:55:04,Daniil Medvedev (RUS),Grigor Dimitrov (BUL),player1,0,0,"[4, 5][-, -][-, -][-, -][-, -]",0.6,0.48
