log,player1,player2,service,game1,game2,score,odds1,odds2
2019-09-06 14:13:52,E. Mertens/A. Sabalenka,C. Dolehide/V. King,player1,15,0,"[0, 0][-, -][-, -]",0.79,0.28
2019-09-06 14:14:09,E. Mertens/A. Sabalenka,C. Dolehide/V. King,player1,15,0,"[0, 0][-, -][-, -]",0.78,0.29
2019-09-06 14:14:19,E. Mertens/A. Sabalenka,C. Dolehide/V. King,player1,15,15,"[0, 0][-, -][-, -]",0.75,0.32
2019-09-06 14:14:47,E. Mertens/A. Sabalenka,C. Dolehide/V. King,player1,30,15,"[0, 0][-, -][-, -]",0.78,0.29
2019-09-06 14:15:08,E. Mertens/A. Sabalenka,C. Dolehide/V. King,player1,40,15,"[0, 0][-, -][-, -]",0.8,0.27
2019-09-06 14:15:36,E. Mertens/A. Sabalenka,C. Dolehide/V. King,player1,40,30,"[0, 0][-, -][-, -]",0.78,0.29
2019-09-06 14:16:03,E. Mertens/A. Sabalenka,C. Dolehide/V. King,player1,40,30,"[0, 0][-, -][-, -]",0.77,0.3
2019-09-06 14:16:14,E. Mertens/A. Sabalenka,C. Dolehide/V. King,player1,40,40,"[0, 0][-, -][-, -]",0.75,0.32
2019-09-06 14:16:41,E. Mertens/A. Sabalenka,C. Dolehide/V. King,player1,40,40,"[0, 0][-, -][-, -]",0.74,0.33
2019-09-06 14:16:46,E. Mertens/A. Sabalenka,C. Dolehide/V. King,player1,40,ADV,"[0, 0][-, -][-, -]",0.74,0.33
2019-09-06 14:16:52,E. Mertens/A. Sabalenka,C. Dolehide/V. King,player1,40,ADV,"[0, 0][-, -][-, -]",0.71,0.35
2019-09-06 14:17:19,E. Mertens/A. Sabalenka,C. Dolehide/V. King,player1,40,40,"[0, 0][-, -][-, -]",0.77,0.3
2019-09-06 14:18:25,E. Mertens/A. Sabalenka,C. Dolehide/V. King,player1,40,ADV,"[0, 0][-, -][-, -]",0.7,0.36
2019-09-06 14:18:35,E. Mertens/A. Sabalenka,C. Dolehide/V. King,player2,0,0,"[0, 1][-, -][-, -]",0.7,0.36
2019-09-06 14:18:41,E. Mertens/A. Sabalenka,C. Dolehide/V. King,player2,0,0,"[0, 1][-, -][-, -]",0.67,0.4
2019-09-06 14:19:08,E. Mertens/A. Sabalenka,C. Dolehide/V. King,player2,0,0,"[0, 1][-, -][-, -]",0.69,0.38
2019-09-06 14:19:35,E. Mertens/A. Sabalenka,C. Dolehide/V. King,player2,0,15,"[0, 1][-, -][-, -]",0.69,0.38
2019-09-06 14:19:41,E. Mertens/A. Sabalenka,C. Dolehide/V. King,player2,0,15,"[0, 1][-, -][-, -]",0.65,0.42
