log,player1,player2,service,game1,game2,score,odds1,odds2
2019-09-06 12:45:08,J. S. Cabal/R. Farah,M. Granollers/H. Zeballos,player1,30,15,"[2, 3][-, -][-, -]",0.63,0.44
2019-09-06 12:45:13,J. S. Cabal/R. Farah,M. Granollers/H. Zeballos,player1,30,15,"[2, 3][-, -][-, -]",0.62,0.45
2019-09-06 12:45:35,J. S. Cabal/R. Farah,M. Granollers/H. Zeballos,player1,30,15,"[2, 3][-, -][-, -]",0.64,0.43
2019-09-06 12:45:40,J. S. Cabal/R. Farah,M. Granollers/H. Zeballos,player1,30,30,"[2, 3][-, -][-, -]",0.6,0.48
2019-09-06 12:46:13,J. S. Cabal/R. Farah,M. Granollers/H. Zeballos,player1,40,30,"[2, 3][-, -][-, -]",0.64,0.43
2019-09-06 12:46:45,J. S. Cabal/R. Farah,M. Granollers/H. Zeballos,player1,40,30,"[2, 3][-, -][-, -]",0.63,0.44
2019-09-06 12:46:56,J. S. Cabal/R. Farah,M. Granollers/H. Zeballos,player2,0,0,"[3, 3][-, -][-, -]",0.65,0.42
2019-09-06 12:47:33,J. S. Cabal/R. Farah,M. Granollers/H. Zeballos,player2,0,15,"[3, 3][-, -][-, -]",0.63,0.44
2019-09-06 12:48:00,J. S. Cabal/R. Farah,M. Granollers/H. Zeballos,player2,15,15,"[3, 3][-, -][-, -]",0.67,0.4
2019-09-06 12:48:22,J. S. Cabal/R. Farah,M. Granollers/H. Zeballos,player2,15,15,"[3, 3][-, -][-, -]",0.68,0.39
2019-09-06 12:48:44,J. S. Cabal/R. Farah,M. Granollers/H. Zeballos,player2,15,30,"[3, 3][-, -][-, -]",0.64,0.43
2019-09-06 12:49:05,J. S. Cabal/R. Farah,M. Granollers/H. Zeballos,player2,15,40,"[3, 3][-, -][-, -]",0.62,0.45
2019-09-06 12:49:27,J. S. Cabal/R. Farah,M. Granollers/H. Zeballos,player2,15,40,"[3, 3][-, -][-, -]",0.63,0.44
2019-09-06 12:49:43,J. S. Cabal/R. Farah,M. Granollers/H. Zeballos,player2,30,40,"[3, 3][-, -][-, -]",0.63,0.44
