log,player1,player2,service,game1,game2,score,odds1,odds2
2019-09-08 16:18:02,Daniil Medvedev (RUS),Rafael Nadal (ESP),player2,0,0,"[0, 0][-, -][-, -][-, -][-, -]",0.22,0.85
2019-09-08 16:18:08,Daniil Medvedev (RUS),Rafael Nadal (ESP),player2,0,15,"[0, 0][-, -][-, -][-, -][-, -]",0.22,0.85
2019-09-08 16:18:13,Daniil Medvedev (RUS),Rafael Nadal (ESP),player2,0,15,"[0, 0][-, -][-, -][-, -][-, -]",0.21,0.86
2019-09-08 16:19:12,Daniil Medvedev (RUS),Rafael Nadal (ESP),player2,0,30,"[0, 0][-, -][-, -][-, -][-, -]",0.2,0.87
2019-09-08 16:19:55,Daniil Medvedev (RUS),Rafael Nadal (ESP),player2,15,30,"[0, 0][-, -][-, -][-, -][-, -]",0.2,0.87
2019-09-08 16:20:00,Daniil Medvedev (RUS),Rafael Nadal (ESP),player2,15,30,"[0, 0][-, -][-, -][-, -][-, -]",0.22,0.85
2019-09-08 16:20:38,Daniil Medvedev (RUS),Rafael Nadal (ESP),player2,30,30,"[0, 0][-, -][-, -][-, -][-, -]",0.22,0.85
2019-09-08 16:20:43,Daniil Medvedev (RUS),Rafael Nadal (ESP),player2,30,30,"[0, 0][-, -][-, -][-, -][-, -]",0.24,0.83
2019-09-08 16:20:59,Daniil Medvedev (RUS),Rafael Nadal (ESP),player2,30,30,"[0, 0][-, -][-, -][-, -][-, -]",0.23,0.84
2019-09-08 16:21:48,Daniil Medvedev (RUS),Rafael Nadal (ESP),player2,40,30,"[0, 0][-, -][-, -][-, -][-, -]",0.23,0.84
2019-09-08 16:21:53,Daniil Medvedev (RUS),Rafael Nadal (ESP),player2,40,30,"[0, 0][-, -][-, -][-, -][-, -]",0.27,0.8
2019-09-08 16:22:15,Daniil Medvedev (RUS),Rafael Nadal (ESP),player2,40,30,"[0, 0][-, -][-, -][-, -][-, -]",0.24,0.83
2019-09-08 16:22:42,Daniil Medvedev (RUS),Rafael Nadal (ESP),player2,40,40,"[0, 0][-, -][-, -][-, -][-, -]",0.24,0.83
2019-09-08 16:22:47,Daniil Medvedev (RUS),Rafael Nadal (ESP),player2,40,40,"[0, 0][-, -][-, -][-, -][-, -]",0.21,0.86
2019-09-08 16:23:30,Daniil Medvedev (RUS),Rafael Nadal (ESP),player2,40,40,"[0, 0][-, -][-, -][-, -][-, -]",0.22,0.85
2019-09-08 16:23:46,Daniil Medvedev (RUS),Rafael Nadal (ESP),player2,40,ADV,"[0, 0][-, -][-, -][-, -][-, -]",0.22,0.85
2019-09-08 16:23:52,Daniil Medvedev (RUS),Rafael Nadal (ESP),player2,40,ADV,"[0, 0][-, -][-, -][-, -][-, -]",0.2,0.87
