Tie,Win1,Win2,game_time,odds_base,score,teams,log,day_game
3.11,2.12,3.27,02:00,6,4:1,Mathare Utd. (Ken)  - Leopards (Ken),2019-08-23 13:31:59,20190823
3.12,2.22,2.87,03:15,4,postp.,PSBS Biak Numfor - Persik Kediri,2019-08-23 13:31:59,20190823
3.04,2.43,2.88,04:00,8,3:2,Daejeon Korail - Cheonan City,2019-08-23 13:31:59,20190823
3.19,2.54,2.58,04:00,8,1:1,Wazito (Ken)  - Kenya CB (Ken),2019-08-23 13:31:59,20190823
4.00,1.91,3.32,04:30,8,2:0,Opava U19 - Mlada Boleslav U19,2019-08-23 13:31:59,20190823
3.31,2.55,2.50,04:30,10,0:4,Barito Putera - Persipura Jayapura,2019-08-23 13:31:59,20190823
3.48,1.93,3.34,04:30,9,1:1,Persis Solo - Mitra Kukar,2019-08-23 13:31:59,20190823
2.98,2.36,2.82,04:30,7,0:1,Blitar United - PSCS Cilacap,2019-08-23 13:31:59,20190823
6.83,10.31,1.18,05:00,4,0:2,Ufa U19 - Zenit Petersburg U19,2019-08-23 13:31:59,20190823
3.90,1.78,3.72,05:00,8,5:0,Oleksandriya U21 - Desna U21,2019-08-23 13:31:59,20190823
4.00,1.77,3.69,06:00,8,2:3 pen.,Pribram U19 - FK Pardubice U19,2019-08-23 13:31:59,20190823
3.54,2.12,3.26,06:00,11,2:2,Kashima - G-Osaka,2019-08-23 13:31:59,20190823
3.53,2.67,2.32,06:00,9,3:1,Maritimo U23 - Aves U23,2019-08-23 13:31:59,20190823
3.53,3.70,1.90,06:00,9,3:3,Ural 2 - Tyumen,2019-08-23 13:31:59,20190823
4.91,1.31,8.07,06:00,10,3:0,Gangneung - Changwon,2019-08-23 13:31:59,20190823
4.20,1.52,5.07,06:00,9,4:2,BHTS Quang Nam - Khanh Hoa,2019-08-23 13:31:59,20190823
5.10,1.22,10.71,06:00,10,2:0,Pho Hien - Dak Lak,2019-08-23 13:31:59,20190823
3.68,3.38,2.03,06:30,11,1:6,Sagan Tosu - Kobe,2019-08-23 13:31:59,20190823
3.39,2.87,2.37,06:30,12,2:0,Gyeongnam - Suwon Bluewings,2019-08-23 13:31:59,20190823
4.03,1.78,3.65,07:00,11,1:2,Tottenham U23 - Derby U23,2019-08-23 13:31:59,20190823
3.72,3.12,2.02,07:00,6,0:1,Tambov U19 - Dynamo Moscow U19,2019-08-23 13:31:59,20190823
17.33,1.01,42.29,07:00,7,7:0,Thailand W - Malaysia W,2019-08-23 13:31:59,20190823
117.74,1.09,123.44,07:30,9,3:0,Suzhou Dongwu - Hubei Chufeng Heli,2019-08-23 13:31:59,20190823
3.39,2.57,2.52,07:30,10,3:2,PSS Sleman - PSM Makassar,2019-08-23 13:31:59,20190823
3.47,1.96,3.45,08:00,11,3:2,Middlesbrough U23 - Swansea U23,2019-08-23 13:31:59,20190823
3.85,2.24,2.61,08:00,9,0:1,Ipswich U23 - Leeds U23,2019-08-23 13:31:59,20190823
4.57,1.30,8.43,09:00,10,2:0,Kampala City (Uga)  - African Stars (Nam),2019-08-23 13:31:59,20190823
4.16,5.36,1.51,09:00,8,0:4,Bolnisi - Dinamo Batumi,2019-08-23 13:31:59,20190823
4.08,4.47,1.61,09:00,9,3:2,Negeri Sembilan - Terengganu,2019-08-23 13:31:59,20190823
3.57,1.70,4.59,09:00,9,2:1,Lada SOK - Lada Togliatti,2019-08-23 13:31:59,20190823
3.17,2.19,3.19,09:00,9,2:2,Chelyabinsk - Ulyanovsk,2019-08-23 13:31:59,20190823
3.47,4.28,1.78,09:00,9,4:2,Rodina Moscow - Vladimir,2019-08-23 13:31:59,20190823
2.76,2.55,2.85,09:00,8,1:0,Cape Umoya United - Swallows,2019-08-23 13:31:59,20190823
3.26,3.97,1.88,09:00,9,1:1,Hirnyk-Sport - Inhulets,2019-08-23 13:31:59,20190823
