In-Play,arb,booker,dev_rst1,dev_rst2,dev_rst3,game_time,log,name_team1,name_team2,result1,result2,result3,score,url
NO,1.066557555919258,10Bet,N/D,N/D,N/D,2019-08-21 12:35:00,2019-08-21 12:39:31,Cincinnati Reds , San Diego Padres,1.56,2.35,N/D,1st Inning 0:0 (),https://www.oddsportal.com/baseball/usa/mlb/
NO,1.0575139146567718,188BET,N/D,N/D,N/D,2019-08-21 12:35:00,2019-08-21 12:39:31,Cincinnati Reds , San Diego Padres,1.54,2.45,N/D,1st Inning 0:0 (),https://www.oddsportal.com/baseball/usa/mlb/
NO,1.0321566240616757,18bet,N/D,N/D,N/D,2019-08-21 12:35:00,2019-08-21 12:39:31,Cincinnati Reds , San Diego Padres,1.59,2.48,N/D,1st Inning 0:0 (),https://www.oddsportal.com/baseball/usa/mlb/
NO,1.0337680719846325,1xBet,N/D,N/D,N/D,2019-08-21 12:35:00,2019-08-21 12:39:31,Cincinnati Reds , San Diego Padres,1.57,2.52,N/D,1st Inning 0:0 (),https://www.oddsportal.com/baseball/usa/mlb/
NO,1.044251447477254,888sport,N/D,N/D,N/D,2019-08-21 12:35:00,2019-08-21 12:39:31,Cincinnati Reds , San Diego Padres,1.56,2.48,N/D,1st Inning 0:0 (),https://www.oddsportal.com/baseball/usa/mlb/
NO,1.0205097570688968,Asianodds,N/D,N/D,N/D,2019-08-21 12:35:00,2019-08-21 12:39:31,Cincinnati Reds , San Diego Padres,1.62,2.48,N/D,1st Inning 0:0 (),https://www.oddsportal.com/baseball/usa/mlb/
NO,1.0591867149244198,bet-at-home,N/D,N/D,N/D,2019-08-21 12:35:00,2019-08-21 12:39:31,Cincinnati Reds , San Diego Padres,1.54,2.44,N/D,1st Inning 0:0 (),https://www.oddsportal.com/baseball/usa/mlb/
NO,1.0329113924050632,bet365,N/D,N/D,N/D,2019-08-21 12:35:00,2019-08-21 12:39:31,Cincinnati Reds , San Diego Padres,1.58,2.5,N/D,1st Inning 0:0 (),https://www.oddsportal.com/baseball/usa/mlb/
NO,1.0250682551501613,Betclic,N/D,N/D,N/D,2019-08-21 12:35:00,2019-08-21 12:39:31,Cincinnati Reds , San Diego Padres,1.58,2.55,N/D,1st Inning 0:0 (),https://www.oddsportal.com/baseball/usa/mlb/
NO,1.05359477124183,Betfair,N/D,N/D,N/D,2019-08-21 12:35:00,2019-08-21 12:39:31,Cincinnati Reds , San Diego Padres,1.53,2.5,N/D,1st Inning 0:0 (),https://www.oddsportal.com/baseball/usa/mlb/
NO,1.0536093418259023,Betfred,N/D,N/D,N/D,2019-08-21 12:35:00,2019-08-21 12:39:31,Cincinnati Reds , San Diego Padres,1.57,2.4,N/D,1st Inning 0:0 (),https://www.oddsportal.com/baseball/usa/mlb/
NO,1.05446273250368,Bethard,N/D,N/D,N/D,2019-08-21 12:35:00,2019-08-21 12:39:31,Cincinnati Reds , San Diego Padres,1.59,2.35,N/D,1st Inning 0:0 (),https://www.oddsportal.com/baseball/usa/mlb/
NO,1.0416666666666667,Betsafe,N/D,N/D,N/D,2019-08-21 12:35:00,2019-08-21 12:39:31,Cincinnati Reds , San Diego Padres,1.6,2.4,N/D,1st Inning 0:0 (),https://www.oddsportal.com/baseball/usa/mlb/
NO,1.0416666666666667,Betsson,N/D,N/D,N/D,2019-08-21 12:35:00,2019-08-21 12:39:31,Cincinnati Reds , San Diego Padres,1.6,2.4,N/D,1st Inning 0:0 (),https://www.oddsportal.com/baseball/usa/mlb/
