booker,game_teams,game_time,log,team1,team2,url
1xBet,"Kansas City Royals - St.Louis Cardinals Betting Odds, Baseball - MLB","Thursday, 15 Aug  2019, 00:15",08/13/19 04:14 PM,2.05,1.82,https://www.oddsportal.com/baseball/usa/mlb/kansas-city-royals-st-louis-cardinals-jsBgiZ6B/
Asianodds,"Kansas City Royals - St.Louis Cardinals Betting Odds, Baseball - MLB","Thursday, 15 Aug  2019, 00:15",08/13/19 04:14 PM,2.15,1.81,https://www.oddsportal.com/baseball/usa/mlb/kansas-city-royals-st-louis-cardinals-jsBgiZ6B/
Bethard,"Kansas City Royals - St.Louis Cardinals Betting Odds, Baseball - MLB","Thursday, 15 Aug  2019, 00:15",08/13/19 04:14 PM,2.05,1.77,https://www.oddsportal.com/baseball/usa/mlb/kansas-city-royals-st-louis-cardinals-jsBgiZ6B/
Pinnacle,"Kansas City Royals - St.Louis Cardinals Betting Odds, Baseball - MLB","Thursday, 15 Aug  2019, 00:15",08/13/19 04:14 PM,2.15,1.81,https://www.oddsportal.com/baseball/usa/mlb/kansas-city-royals-st-louis-cardinals-jsBgiZ6B/
best deal,"Kansas City Royals - St.Louis Cardinals Betting Odds, Baseball - MLB","Thursday, 15 Aug  2019, 00:15",08/13/19 04:14 PM,2.15,1.82,https://www.oddsportal.com/baseball/usa/mlb/kansas-city-royals-st-louis-cardinals-jsBgiZ6B/
18bet,"Colorado Rockies - Arizona Diamondbacks Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 00:40",08/13/19 04:17 PM,1.89,1.99,https://www.oddsportal.com/baseball/usa/mlb/colorado-rockies-arizona-diamondbacks-EXRQ3iZJ/
1xBet,"Colorado Rockies - Arizona Diamondbacks Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 00:40",08/13/19 04:17 PM,1.87,2.0,https://www.oddsportal.com/baseball/usa/mlb/colorado-rockies-arizona-diamondbacks-EXRQ3iZJ/
Asianodds,"Colorado Rockies - Arizona Diamondbacks Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 00:40",08/13/19 04:17 PM,1.92,2.01,https://www.oddsportal.com/baseball/usa/mlb/colorado-rockies-arizona-diamondbacks-EXRQ3iZJ/
bet-at-home,"Colorado Rockies - Arizona Diamondbacks Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 00:40",08/13/19 04:17 PM,1.8,1.98,https://www.oddsportal.com/baseball/usa/mlb/colorado-rockies-arizona-diamondbacks-EXRQ3iZJ/
bet365,"Colorado Rockies - Arizona Diamondbacks Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 00:40",08/13/19 04:17 PM,1.8,2.05,https://www.oddsportal.com/baseball/usa/mlb/colorado-rockies-arizona-diamondbacks-EXRQ3iZJ/
