booker,game_teams,game_time,log,score,team1,team2,tie,url
18bet,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,0:1,4.6,1.63,3.5,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
1xBet,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,0:1,4.86,1.66,3.84,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
Asianodds,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,0:1,5.48,1.65,3.84,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
Bethard,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,0:1,5.1,1.51,3.7,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
bwin,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,0:1,5.25,1.53,3.8,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
Coolbet,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,0:1,5.0,1.57,3.75,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
Marathonbet,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,0:1,5.05,1.59,3.84,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
Pinnacle,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,0:1,5.48,1.6,3.84,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
Unibet,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,0:1,4.75,1.58,4.0,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
best deal,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,0:1,5.48,1.66,4.0,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
