booker,result1,result2,result3,dev_rst1,dev_rst2,dev_rst3,url,score,game_time,log,name_team1,name_team2,In-Play,arb
18bet,1.15,4.92,N/D,0,0,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/berankis-ricardas-pervolarakis-michail-lM0C1U2H/,N/D,2019-08-15 00:05:00,2019-08-15 16:23:31,Berankis R. , Pervolarakis M.,NO,1.0728172499116295
1xBet,1.17,4.92,N/D,0,0,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/berankis-ricardas-pervolarakis-michail-lM0C1U2H/,N/D,2019-08-15 00:05:00,2019-08-15 16:23:31,Berankis R. , Pervolarakis M.,NO,1.05795288722118
Asianodds,1.16,4.98,N/D,0,0,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/berankis-ricardas-pervolarakis-michail-lM0C1U2H/,N/D,2019-08-15 00:05:00,2019-08-15 16:23:31,Berankis R. , Pervolarakis M.,NO,1.062872178368647
bet-at-home,1.14,4.63,N/D,0,1,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/berankis-ricardas-pervolarakis-michail-lM0C1U2H/,N/D,2019-08-15 00:05:00,2019-08-15 16:23:31,Berankis R. , Pervolarakis M.,NO,1.0931757038384298
bet365,1.14,5.5,N/D,0,-2,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/berankis-ricardas-pervolarakis-michail-lM0C1U2H/,N/D,2019-08-15 00:05:00,2019-08-15 16:23:31,Berankis R. , Pervolarakis M.,NO,1.0590111642743223
Bethard,1.17,5.1,N/D,0,-1,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/berankis-ricardas-pervolarakis-michail-lM0C1U2H/,N/D,2019-08-15 00:05:00,2019-08-15 16:23:31,Berankis R. , Pervolarakis M.,NO,1.0507792860734038
bwin,1.15,4.6,N/D,0,1,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/berankis-ricardas-pervolarakis-michail-lM0C1U2H/,N/D,2019-08-15 00:05:00,2019-08-15 16:23:31,Berankis R. , Pervolarakis M.,NO,1.0869565217391306
Coolbet,1.23,4.0,N/D,0,5,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/berankis-ricardas-pervolarakis-michail-lM0C1U2H/,N/D,2019-08-15 00:05:00,2019-08-15 16:23:31,Berankis R. , Pervolarakis M.,NO,1.0630081300813008
Marathonbet,1.16,5.05,N/D,0,0,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/berankis-ricardas-pervolarakis-michail-lM0C1U2H/,N/D,2019-08-15 00:05:00,2019-08-15 16:23:31,Berankis R. , Pervolarakis M.,NO,1.0600887674974395
Pinnacle,1.16,4.98,N/D,0,0,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/berankis-ricardas-pervolarakis-michail-lM0C1U2H/,N/D,2019-08-15 00:05:00,2019-08-15 16:23:31,Berankis R. , Pervolarakis M.,NO,1.062872178368647
Unibet,1.16,4.9,N/D,0,0,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/berankis-ricardas-pervolarakis-michail-lM0C1U2H/,N/D,2019-08-15 00:05:00,2019-08-15 16:23:31,Berankis R. , Pervolarakis M.,NO,1.0661505981703026
William Hill,1.14,5.0,N/D,0,0,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/berankis-ricardas-pervolarakis-michail-lM0C1U2H/,N/D,2019-08-15 00:05:00,2019-08-15 16:23:31,Berankis R. , Pervolarakis M.,NO,1.0771929824561404
best deal,1.23,5.5,N/D,0,-2,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/berankis-ricardas-pervolarakis-michail-lM0C1U2H/,N/D,2019-08-15 00:05:00,2019-08-15 16:23:31,Berankis R. , Pervolarakis M.,NO,0.9948263118994828
18bet,2.49,1.48,N/D,0,2,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/pospisil-vasek-chung-hyeon-QoOup2Xq/,N/D,2019-08-15 01:45:00,2019-08-15 16:23:32,Pospisil V. , Chung H.,NO,1.0772821013784868
1xBet,2.51,1.51,N/D,0,1,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/pospisil-vasek-chung-hyeon-QoOup2Xq/,N/D,2019-08-15 01:45:00,2019-08-15 16:23:32,Pospisil V. , Chung H.,NO,1.0606580301311312
Asianodds,2.55,1.52,N/D,0,0,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/pospisil-vasek-chung-hyeon-QoOup2Xq/,N/D,2019-08-15 01:45:00,2019-08-15 16:23:32,Pospisil V. , Chung H.,NO,1.0500515995872033
bet-at-home,2.43,1.48,N/D,0,2,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/pospisil-vasek-chung-hyeon-QoOup2Xq/,N/D,2019-08-15 01:45:00,2019-08-15 16:23:32,Pospisil V. , Chung H.,NO,1.0871983094205315
bet365,2.25,1.57,N/D,0,-2,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/pospisil-vasek-chung-hyeon-QoOup2Xq/,N/D,2019-08-15 01:45:00,2019-08-15 16:23:32,Pospisil V. , Chung H.,NO,1.0813871196036802
Bethard,2.3,1.56,N/D,0,-1,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/pospisil-vasek-chung-hyeon-QoOup2Xq/,N/D,2019-08-15 01:45:00,2019-08-15 16:23:32,Pospisil V. , Chung H.,NO,1.0758082497212933
bwin,2.3,1.53,N/D,0,0,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/pospisil-vasek-chung-hyeon-QoOup2Xq/,N/D,2019-08-15 01:45:00,2019-08-15 16:23:32,Pospisil V. , Chung H.,NO,1.0883773799374823
Coolbet,2.36,1.57,N/D,0,-2,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/pospisil-vasek-chung-hyeon-QoOup2Xq/,N/D,2019-08-15 01:45:00,2019-08-15 16:23:32,Pospisil V. , Chung H.,NO,1.0606714887185578
Marathonbet,2.52,1.5,N/D,0,1,0,https://www.oddsportal.com/tennis/canada/vancouver-challenger-men/pospisil-vasek-chung-hyeon-QoOup2Xq/,N/D,2019-08-15 01:45:00,2019-08-15 16:23:32,Pospisil V. , Chung H.,NO,1.0634920634920637
