log,player1,player2,odds1,odds2
2019-09-06 16:27:20,Philipp Kohlschreiber,Guido Andreozzi,0.24,0.787
2019-09-06 16:27:56,Philipp Kohlschreiber,Guido Andreozzi,0.164,0.856
2019-09-06 16:29:59,Philipp Kohlschreiber,Guido Andreozzi,0.151,0.869
2019-09-06 16:32:07,Philipp Kohlschreiber,Guido Andreozzi,0.143,0.875
2019-09-06 16:34:14,Philipp Kohlschreiber,Guido Andreozzi,0.057,0.951
2019-09-06 16:36:17,Philipp Kohlschreiber,Guido Andreozzi,0.028,0.981
2019-09-06 16:38:24,Philipp Kohlschreiber,Guido Andreozzi,0.041,0.968
2019-09-06 16:40:32,Philipp Kohlschreiber,Guido Andreozzi,0.043,0.965
2019-09-06 16:41:54,Daniil Medvedev,Grigor Dimitrov,0.6,0.437
2019-09-06 16:43:51,Daniil Medvedev,Grigor Dimitrov,0.62,0.418
2019-09-06 16:45:59,Daniil Medvedev,Grigor Dimitrov,0.659,0.377
2019-09-06 16:48:07,Daniil Medvedev,Grigor Dimitrov,0.597,0.442
2019-09-06 16:50:14,Daniil Medvedev,Grigor Dimitrov,0.589,0.448
2019-09-06 16:52:17,Daniil Medvedev,Grigor Dimitrov,0.639,0.397
2019-09-06 16:54:25,Daniil Medvedev,Grigor Dimitrov,0.62,0.417
2019-09-06 16:56:32,Daniil Medvedev,Grigor Dimitrov,0.597,0.441
2019-09-06 16:58:39,Daniil Medvedev,Grigor Dimitrov,0.611,0.426
2019-09-06 17:00:41,Daniil Medvedev,Grigor Dimitrov,0.614,0.424
2019-09-06 17:02:49,Daniil Medvedev,Grigor Dimitrov,0.583,0.455
2019-09-06 17:04:56,Daniil Medvedev,Grigor Dimitrov,0.569,0.469
2019-09-06 17:07:04,Daniil Medvedev,Grigor Dimitrov,0.595,0.442
2019-09-06 17:09:06,Daniil Medvedev,Grigor Dimitrov,0.554,0.483
2019-09-06 17:11:13,Daniil Medvedev,Grigor Dimitrov,0.573,0.465
2019-09-06 17:15:37,Daniil Medvedev,Grigor Dimitrov,0.693,0.34
2019-09-06 17:17:34,Daniil Medvedev,Grigor Dimitrov,0.598,0.441
2019-09-06 17:19:41,Daniil Medvedev,Grigor Dimitrov,0.772,0.257
2019-09-06 17:23:51,Daniil Medvedev,Grigor Dimitrov,0.746,0.284
2019-09-06 17:25:58,Daniil Medvedev,Grigor Dimitrov,0.728,0.304
2019-09-06 17:28:15,Daniil Medvedev,Grigor Dimitrov,0.655,0.38
2019-09-06 17:30:13,Daniil Medvedev,Grigor Dimitrov,0.758,0.272
2019-09-06 17:32:20,Daniil Medvedev,Grigor Dimitrov,0.767,0.262
2019-09-06 17:34:32,Daniil Medvedev,Grigor Dimitrov,0.78,0.248
2019-09-06 17:36:40,Daniil Medvedev,Grigor Dimitrov,0.788,0.239
2019-09-06 17:38:47,Daniil Medvedev,Grigor Dimitrov,0.79,0.237
2019-09-06 17:40:55,Daniil Medvedev,Grigor Dimitrov,0.822,0.202
2019-09-06 17:42:57,Daniil Medvedev,Grigor Dimitrov,0.817,0.207
