log,player1,player2,service,game1,game2,score,odds1,odds2
2019-09-05 14:52:13,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,30,30,"[7, 6][2, 3][-, -]",1.28,3.5
2019-09-05 14:52:44,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,40,30,"[7, 6][2, 3][-, -]",1.25,3.75
2019-09-05 14:56:05,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,0,0,"[7, 6][3, 4][-, -]",1.26,3.6
2019-09-05 14:56:35,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,0,0,"[7, 6][3, 4][-, -]",1.28,3.5
2019-09-05 14:58:06,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,0,15,"[7, 6][3, 4][-, -]",1.36,3.0
2019-09-05 14:59:07,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,30,15,"[7, 6][3, 4][-, -]",1.26,3.6
2019-09-05 14:59:37,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,40,15,"[7, 6][3, 4][-, -]",1.22,4.0
2019-09-05 15:03:11,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,0,0,"[7, 6][4, 5][-, -]",1.28,3.5
2019-09-05 15:05:12,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,15,0,"[7, 6][4, 5][-, -]",1.25,3.75
2019-09-05 15:05:43,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,30,0,"[7, 6][4, 5][-, -]",1.22,4.0
2019-09-05 15:06:13,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,40,0,"[7, 6][4, 5][-, -]",1.22,4.0
2019-09-05 15:08:46,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,0,0,"[7, 6][5, 6][-, -]",1.28,3.5
2019-09-05 15:10:47,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,0,15,"[7, 6][5, 6][-, -]",1.36,3.0
2019-09-05 15:11:17,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,15,15,"[7, 6][5, 6][-, -]",1.3,3.3
2019-09-05 15:11:48,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,30,15,"[7, 6][5, 6][-, -]",1.26,3.6
2019-09-05 15:12:18,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,30,30,"[7, 6][5, 6][-, -]",1.33,3.1
2019-09-05 15:12:48,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,40,30,"[7, 6][5, 6][-, -]",1.26,3.6
2019-09-05 15:13:49,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,1,0,"[7, 6][6, 6][-, -]",1.13,5.5
2019-09-05 15:14:19,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,1,0,"[7, 6][6, 6][-, -]",1.15,5.0
2019-09-05 15:14:50,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,2,0,"[7, 6][6, 6][-, -]",1.08,7.0
2019-09-05 15:15:20,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,2,0,"[7, 6][6, 6][-, -]",1.09,6.5
2019-09-05 15:16:21,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,2,3,"[7, 6][6, 6][-, -]",1.3,3.3
2019-09-05 15:16:51,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,3,3,"[7, 6][6, 6][-, -]",1.2,4.2
2019-09-05 15:17:21,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,3,3,"[7, 6][6, 6][-, -]",1.22,4.0
2019-09-05 15:17:52,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,3,3,"[7, 6][6, 6][-, -]",1.25,3.75
2019-09-05 15:19:54,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,4,5,"[7, 6][6, 6][-, -]",1.33,3.1
2019-09-05 15:20:24,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,4,5,"[7, 6][6, 6][-, -]",1.34,3.1
2019-09-05 15:20:54,M. Granollers/H. Zeballos,K. Krawietz/A. Mies,player1,5,5,"[7, 6][6, 6][-, -]",1.19,4.33
