log,player1,player2,service,game1,game2,score,odds1,odds2
2019-09-06 16:24:05,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player1,15,40,"[6, 7][0, 0][-, -]",0.28,0.79
2019-09-06 16:24:10,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,0,0,"[6, 7][0, 1][-, -]",0.24,0.83
2019-09-06 16:25:04,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,0,15,"[6, 7][0, 1][-, -]",0.22,0.85
2019-09-06 16:25:36,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,0,30,"[6, 7][0, 1][-, -]",0.22,0.85
2019-09-06 16:25:42,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,0,30,"[6, 7][0, 1][-, -]",0.2,0.87
2019-09-06 16:26:14,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,15,30,"[6, 7][0, 1][-, -]",0.2,0.87
2019-09-06 16:26:19,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,15,30,"[6, 7][0, 1][-, -]",0.22,0.85
2019-09-06 16:26:40,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,15,40,"[6, 7][0, 1][-, -]",0.22,0.85
2019-09-06 16:26:46,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,15,40,"[6, 7][0, 1][-, -]",0.2,0.87
2019-09-06 16:27:18,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,30,40,"[6, 7][0, 1][-, -]",0.22,0.85
2019-09-06 16:27:50,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player1,0,0,"[6, 7][0, 2][-, -]",0.19,0.88
2019-09-06 16:28:16,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player1,15,0,"[6, 7][0, 2][-, -]",0.19,0.88
2019-09-06 16:28:22,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player1,15,0,"[6, 7][0, 2][-, -]",0.21,0.86
2019-09-06 16:28:38,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player1,30,0,"[6, 7][0, 2][-, -]",0.22,0.85
2019-09-06 16:29:21,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player1,30,15,"[6, 7][0, 2][-, -]",0.21,0.86
2019-09-06 16:29:42,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player1,30,15,"[6, 7][0, 2][-, -]",0.2,0.87
2019-09-06 16:30:03,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player1,30,30,"[6, 7][0, 2][-, -]",0.18,0.88
2019-09-06 16:30:30,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player1,30,30,"[6, 7][0, 2][-, -]",0.17,0.89
2019-09-06 16:30:35,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player1,30,40,"[6, 7][0, 2][-, -]",0.17,0.89
2019-09-06 16:30:41,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player1,30,40,"[6, 7][0, 2][-, -]",0.15,0.93
2019-09-06 16:31:02,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player1,30,40,"[6, 7][0, 2][-, -]",0.14,0.93
2019-09-06 16:31:13,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,0,0,"[6, 7][0, 3][-, -]",0.1,0.97
2019-09-06 16:32:48,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,0,15,"[6, 7][0, 3][-, -]",0.09,0.98
2019-09-06 16:33:20,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,0,30,"[6, 7][0, 3][-, -]",0.07,0.99
2019-09-06 16:33:47,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,0,40,"[6, 7][0, 3][-, -]",0.07,0.99
2019-09-06 16:33:52,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,0,40,"[6, 7][0, 3][-, -]",0.06,0.99
2019-09-06 16:34:08,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player1,0,0,"[6, 7][0, 4][-, -]",0.05,0.99
2019-09-06 16:35:07,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player1,15,0,"[6, 7][0, 4][-, -]",0.06,0.99
2019-09-06 16:35:44,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player1,30,0,"[6, 7][0, 4][-, -]",0.06,0.99
2019-09-06 16:36:05,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player1,40,0,"[6, 7][0, 4][-, -]",0.06,0.99
2019-09-06 16:36:26,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,0,0,"[6, 7][1, 4][-, -]",0.07,0.99
2019-09-06 16:38:01,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,0,15,"[6, 7][1, 4][-, -]",0.05,0.99
2019-09-06 16:38:22,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,0,15,"[6, 7][1, 4][-, -]",0.06,0.99
2019-09-06 16:38:28,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,15,15,"[6, 7][1, 4][-, -]",0.06,0.99
2019-09-06 16:38:33,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,15,15,"[6, 7][1, 4][-, -]",0.07,0.99
2019-09-06 16:39:15,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,15,30,"[6, 7][1, 4][-, -]",0.05,0.99
2019-09-06 16:40:03,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,15,40,"[6, 7][1, 4][-, -]",0.04,0.99
2019-09-06 16:40:30,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player1,0,0,"[6, 7][1, 5][-, -]",0.04,0.99
2019-09-06 16:40:35,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player1,0,0,"[6, 7][1, 5][-, -]",0.03,0.99
2019-09-06 16:42:52,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player1,30,15,"[6, 7][1, 5][-, -]",0.03,0.99
2019-09-06 16:51:11,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,15,15,"[6, 7][2, 5][-, -]",0.03,0.99
2019-09-06 16:51:37,Philipp Kohlschreiber (GER),Guido Andreozzi (ARG),player2,30,15,"[6, 7][2, 5][-, -]",0.04,0.99
