R1,R2,game_time,live_score,odds_base,score,teams,url,log,day_game
1.50,2.42,00:00,N/D,7,2:0,Sizikova Y. - Oliynykova O.,/tennis/china/itf-changsha-women/sizikova-yana-oliynykova-oleksandra-S8DygGIF/,2019-09-04 14:24:35,20190904
1.59,2.28,00:30,N/D,12,2:0,Tseng C. H. - Krstin P.,/tennis/china/jinan-challenger-men/tseng-chun-hsin-krstin-pedja-AkdGbEcq/,2019-09-04 14:24:35,20190904
1.57,2.20,00:45,N/D,4,ret.,Gabueva A. - Al Nabhani F.,/tennis/china/itf-changsha-women/gabueva-angelina-al-nabhani-fatma-8KUYizYL/,2019-09-04 14:24:35,20190904
1.74,1.98,01:40,N/D,10,0:2,You X. - Lu J.,/tennis/china/itf-changsha-women/you-xiaodi-lu-jia-jing-bwiz8snH/,2019-09-04 14:24:35,20190904
1.36,3.01,01:45,N/D,11,2:0,Duckworth J. - Zhang Z.,/tennis/china/jinan-challenger-men/duckworth-james-zhang-ze-GbD6pDE5/,2019-09-04 14:24:35,20190904
4.36,1.17,02:35,N/D,8,0:2,Zhang Y. - Yuan Y.,/tennis/china/itf-changsha-women/zhang-ying-yuan-yue-1998-pEyVAq2b/,2019-09-04 14:24:35,20190904
1.28,3.46,02:35,N/D,12,2:0,Santillan A. - Sekiguchi S.,/tennis/china/jinan-challenger-men/santillan-akira-sekiguchi-shuichi-GxWKX4Km/,2019-09-04 14:24:35,20190904
2.40,1.52,03:15,N/D,4,2:1,Kocevar-Desman T. - Shimizu Y.,/tennis/italy/itf-trieste-men/kocevar-desman-tom-shimizu-yuta-refs0XPr/,2019-09-04 14:24:35,20190904
10.53,1.04,03:20,N/D,13,0:2,He Y. - Kwon Soon W.,/tennis/china/jinan-challenger-men/he-yecong-kwon-soon-woo-ljEVR729/,2019-09-04 14:24:35,20190904
2.72,1.42,03:25,N/D,4,1:2,Zheng W. - Naydenova A.,/tennis/china/itf-changsha-women/zheng-wushuang-naydenova-alexandrina-nBTxifmS/,2019-09-04 14:24:35,20190904
3.30,1.29,03:35,N/D,6,0:2,Sun F./Wu D. - Purcell M./Saville L.,/tennis/china/jinan-challenger-men-doubles/sun-fajing-wu-di-purcell-max-saville-luke-d0Zx5hWE/,2019-09-04 14:24:35,20190904
1.41,2.68,03:45,N/D,11,0:2,Ma S. - Zhu A.,/tennis/china/itf-changsha-women/ma-shuyue-zhu-amy-4jG4nEeq/,2019-09-04 14:24:35,20190904
1.15,4.74,04:05,N/D,6,2:1,Zuger J. - Palkina K.,/tennis/switzerland/itf-montreux-women/zuger-joanne-palkina-ksenia-fkzw66oR/,2019-09-04 14:24:35,20190904
1.04,8.42,04:10,N/D,9,2:0,Stojanovic N. - Zhao Q.,/tennis/china/itf-changsha-women/stojanovic-nina-zhao-qianqian-C0wNC5Xo/,2019-09-04 14:24:35,20190904
1.34,3.13,04:10,N/D,13,0:2,Ivashka I. - Marchenko I.,/tennis/france/cassis-challenger-men/ivashka-ilya-marchenko-illya-l6EJB4Vf/,2019-09-04 14:24:35,20190904
