booker,result1,result2,result3,dev_rst1,dev_rst2,dev_rst3,url,score,game_time,log,name_team1,name_team2,In-Play,arb
10Bet,1.32,3.75,9.0,0,-0.0,1.0,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/,Half-time 1:0 (1:0),2019-08-20 10:00:00,2019-08-20 11:02:34,Podillya Khmelnytskyi , Zhytomyr , In Play Odds,1.1353535353535353
18bet,1.45,3.25,8.0,0,4.0,2.0,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/,Half-time 1:0 (1:0),2019-08-20 10:00:00,2019-08-20 11:02:34,Podillya Khmelnytskyi , Zhytomyr , In Play Odds,1.1223474801061009
1xBet,1.37,4.02,11.0,0,-2.0,-1.0,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/,Half-time 1:0 (1:0),2019-08-20 10:00:00,2019-08-20 11:02:34,Podillya Khmelnytskyi , Zhytomyr , In Play Odds,1.0695923171138335
Asianodds,1.45,3.25,8.0,0,4.0,2.0,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/,Half-time 1:0 (1:0),2019-08-20 10:00:00,2019-08-20 11:02:34,Podillya Khmelnytskyi , Zhytomyr , In Play Odds,1.1223474801061009
bet-at-home,1.36,3.8,10.5,0,-1.0,-1.0,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/,Half-time 1:0 (1:0),2019-08-20 10:00:00,2019-08-20 11:02:34,Podillya Khmelnytskyi , Zhytomyr , In Play Odds,1.0936901076219963
bet365,1.36,4.0,11.0,0,-2.0,-1.0,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/,Half-time 1:0 (1:0),2019-08-20 10:00:00,2019-08-20 11:02:34,Podillya Khmelnytskyi , Zhytomyr , In Play Odds,1.0762032085561497
Bethard,1.32,3.75,9.0,0,-0.0,1.0,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/,Half-time 1:0 (1:0),2019-08-20 10:00:00,2019-08-20 11:02:34,Podillya Khmelnytskyi , Zhytomyr , In Play Odds,1.1353535353535353
bwin,1.44,3.5,8.25,0,2.0,2.0,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/,Half-time 1:0 (1:0),2019-08-20 10:00:00,2019-08-20 11:02:34,Podillya Khmelnytskyi , Zhytomyr , In Play Odds,1.1013708513708513
Interwetten,1.35,3.85,10.25,0,-1.0,-1.0,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/,Half-time 1:0 (1:0),2019-08-20 10:00:00,2019-08-20 11:02:34,Podillya Khmelnytskyi , Zhytomyr , In Play Odds,1.0980419760907565
Sportingbet,1.44,3.5,8.25,0,2.0,2.0,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/,Half-time 1:0 (1:0),2019-08-20 10:00:00,2019-08-20 11:02:34,Podillya Khmelnytskyi , Zhytomyr , In Play Odds,1.1013708513708513
best deal,1.45,4.02,11.0,0,-2.0,-1.0,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/,Half-time 1:0 (1:0),2019-08-20 10:00:00,2019-08-20 11:02:34,Podillya Khmelnytskyi , Zhytomyr , In Play Odds,1.0293204822283566
10Bet,20.5,6.5,1.11,0,4.0,-2.0,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/,"47' 0:3 (0:3, 0:0)",2019-08-20 10:00:00,2019-08-20 11:02:39,Nova Kakhovka , Bukovyna , In Play Odds,1.1035275425519326
1xBet,21.0,11.0,1.07,0,-2.0,1.0,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/,"47' 0:3 (0:3, 0:0)",2019-08-20 10:00:00,2019-08-20 11:02:39,Nova Kakhovka , Bukovyna , In Play Odds,1.073107577780475
